TAZ,population,population_altrnd
1701,2526,2526
1702,2391,2391
1703,3333,3333
1704,67,67
1705,1055,1055
1706,1451,1451
1707,1295,1295
1708,1885,1885
1709,1356,1356
1710,1941,1941
1711,932,932
1712,2621,2621
1713,1867,1867
1714,1743,1743
1715,2078,2078
1716,2270,2270
1717,1770,1770
1718,1188,1188
1719,3272,3272
1720,164,164
1721,0,0
1722,304,304
1723,714,714
1724,998,998
1725,1184,1184
1726,964,964
1727,192,192
1728,2536,2536
1729,3616,3616
1730,2102,2102
1731,2538,2538
1732,1359,1359
1733,1992,1992
1734,1659,1659
1735,1930,1930
1736,1341,1341
1737,14,14
1738,518,518
1739,7,7
1740,1011,1011
1741,1331,1331
1742,2333,2333
1743,3798,3798
1744,2579,2579
1745,2228,2228
1746,638,638
1747,1928,1928
1748,3565,3565
1749,2147,2147
1750,2282,2282
1751,1063,1063
1752,1471,1471
1753,1034,1034
1754,1149,1149
1755,41,41
1756,1469,1469
1757,448,448
1758,43,43
1759,713,713
1760,3917,3917
1761,3281,3281
1762,3854,3854
1763,1704,1704
1764,2917,2917
1765,1975,1975
1766,2646,2646
1767,599,599
1768,34,34
1769,1543,1543
1770,3226,3226
1771,2913,2913
1772,2919,2919
1773,805,805
1774,2831,2831
1775,696,696
1776,2908,2908
1777,2798,2798
1778,703,703
1779,2170,2170
1780,459,459
